link_id;ticket_id;ticket_barcode;bracelet_id;bracelet_uid;timestamp;actie
296;139377;4915878683698;1621591;0429E7EAA95281;2017-04-14 22:58:39.680;linktoken
297;141217;6845658194770;1583180;043C7FEAA95280;2017-04-14 23:00:03.073;linktoken
298;134236;4337179849908;1583168;043EFFEAA95281;2017-04-14 23:00:06.073;linktoken
299;134235;7614392942799;1583198;04AEA3EAA95280;2017-04-14 23:00:22.913;linktoken
300;135133;4336393521423;1581805;04F1D0EAA95280;2017-04-14 23:00:38.423;linktoken
301;142036;9840720107655;1582459;0416CDEAA95281;2017-04-14 23:00:46.233;linktoken
302;135132;2339710423600;1581807;04E473EAA95280;2017-04-14 23:00:53.370;linktoken
304;141857;8857991939374;1583220;0479F3EAA95281;2017-04-14 23:01:19.330;linktoken
305;141857;8857991939374;1583220;;2017-04-14 23:01:20.253;removetoken
306;141857;8857991939374;1583188;04A4DAEAA95280;2017-04-14 23:01:37.750;linktoken
307;141858;9997940905629;1583186;04D582EAA95280;2017-04-14 23:01:53.970;linktoken
308;131454;8421379440938;1581837;0476F2EAA95280;2017-04-14 23:02:26.620;linktoken
310;139324;3221447010811;1622724;0476F1EAA95281;2017-04-14 23:02:45.103;linktoken
311;139323;8481399661560;1622474;0492A7EAA95280;2017-04-14 23:02:46.677;linktoken
312;142189;8283104440268;1620821;046CFFEAA95281;2017-04-14 23:02:54.483;linktoken
314;131268;4495569752754;1583191;046DFEEAA95280;2017-04-14 23:03:08.283;linktoken
315;116678;6172105975867;1622218;04C80EEAA95284;2017-04-14 23:03:09.450;linktoken
316;121184;7781306696250;1621639;0478F3EAA95281;2017-04-14 23:03:11.223;linktoken
318;116699;8138882136332;1622199;04B718EAA95284;2017-04-14 23:03:23.843;linktoken
319;131269;6211411463658;1583174;041DCBEAA95281;2017-04-14 23:03:34.553;linktoken
320;131453;4263116412471;1581797;044AA1EAA95281;2017-04-14 23:03:34.813;linktoken
322;131389;7754161642342;1583210;044B0FEAA95285;2017-04-14 23:03:54.950;linktoken
323;121205;1408169041107;1622194;04567CEAA95280;2017-04-14 23:03:58.560;linktoken
324;126660;4823812873961;1622061;0435A8EAA95280;2017-04-14 23:04:00.717;linktoken
325;143805;6862822250490;1621602;04B785EAA95280;2017-04-14 23:04:02.830;linktoken
326;131390;2990172957203;1582428;043494EAA95280;2017-04-14 23:04:07.410;linktoken
327;122080;9520029534191;1581840;0468F0EAA95281;2017-04-14 23:04:08.677;linktoken
328;122080;9520029534191;1581840;;2017-04-14 23:04:09.470;removetoken
329;121204;5274274232596;1620192;043AE7EAA95281;2017-04-14 23:04:13.127;linktoken
330;143806;1180159283888;1621590;040615EAA95285;2017-04-14 23:04:15.263;linktoken
331;138493;6354920266928;1622026;0457A7EAA95280;2017-04-14 23:04:22.167;linktoken
332;158638;9155907152213;1583173;04DEEDEAA95280;2017-04-14 23:04:29.197;linktoken
333;141355;5283958515412;1583197;04D780EAA95280;2017-04-14 23:04:44.187;linktoken
334;122082;8155981587629;1581822;047EDDEAA95280;2017-04-14 23:04:48.750;linktoken
335;142728;8583551149579;1583189;0432E8EAA95280;2017-04-14 23:05:02.377;linktoken
336;122081;6358189402523;1581825;0440B4EAA95281;2017-04-14 23:05:03.153;linktoken
337;142727;4974619689672;1584784;04B29DEAA95280;2017-04-14 23:05:17.410;linktoken
338;145571;2237116716183;1583214;04D1C8EAA95280;2017-04-14 23:05:20.603;linktoken
340;145625;3255381706493;1584774;0446FFEAA95281;2017-04-14 23:05:32.343;linktoken
341;118838;2091025319855;1622721;047DDBEAA95280;2017-04-14 23:05:33.980;linktoken
342;145572;8801343460085;1583211;043E9EEAA95280;2017-04-14 23:05:35.243;linktoken
343;119523;6402176998671;1622198;04456EEAA95280;2017-04-14 23:05:38.013;linktoken
344;142658;1711814318036;1581827;0467E9EAA95281;2017-04-14 23:05:43.930;linktoken
345;119522;6878383515671;1622187;044CB5EAA95281;2017-04-14 23:05:49.133;linktoken
346;139447;1994578150092;1581795;0453A6EAA95280;2017-04-14 23:05:55.183;linktoken
347;139451;5849908371462;1583212;04D7F0EAA95280;2017-04-14 23:06:02.390;linktoken
348;120395;9338364603492;1621669;04F8E7EAA95280;2017-04-14 23:06:09.923;linktoken
349;139448;7335156188788;1584819;04D90EEAA95284;2017-04-14 23:06:10.700;linktoken
350;139449;7185809919043;1583208;0449EAEAA95280;2017-04-14 23:06:18.397;linktoken
351;135774;2147815928438;1583123;046708EAA95284;2017-04-14 23:06:23.883;linktoken
353;139326;2907097516293;1622436;0467C3EAA95280;2017-04-14 23:06:31.563;linktoken
354;135825;6357115114448;1583209;0422D8EAA95281;2017-04-14 23:06:33.807;linktoken
355;139450;5187126630009;1584786;04CB06EAA95284;2017-04-14 23:06:36.377;linktoken
356;135300;7800441420237;1622186;044E15EAA95284;2017-04-14 23:06:42.410;linktoken
358;136156;3833417864609;1583206;04BC1CEAA95284;2017-04-14 23:06:50.857;linktoken
359;132013;9229909157733;1622683;045AB4EAA95281;2017-04-14 23:06:56.570;linktoken
360;130248;1172535632564;1622179;0488DFEAA95281;2017-04-14 23:06:57.410;linktoken
361;157600;7140761455343;1583152;045CCBEAA95281;2017-04-14 23:07:03.067;linktoken
362;118069;7504657215730;1622454;04E673EAA95280;2017-04-14 23:07:07.787;linktoken
363;135775;8295054899119;1583178;0442CBEAA95281;2017-04-14 23:07:08.203;linktoken
364;132019;5835539969949;1622054;04157EEAA95281;2017-04-14 23:07:12.267;linktoken
